"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"11111111 222222 11,111 2,222,222,222","01/01/2025","01/01/2025","Credit","3200.00000","","11111111","ACH Deposit EMPLOYER: GLOBEX CORP PAYROLL","Payroll","","3200.00000","","ACH Deposit EMPLOYER: GLOBEX CORP DIRECT DEPOSIT"
"22222222 333333 22,222 3,333,333,333","01/02/2025","01/02/2025","Debit","85.47000","","22222222","POS Purchase PUBLIX SUPER MARKET #0341","Groceries","","3114.53000","","POS Purchase PUBLIX SUPER MARKET STORE #0341"
"33333333 444444 33,333 4,444,444,444","01/03/2025","01/03/2025","Debit","12.99000","","33333333","ACH Debit DISNEY PLUS SUBSCRIPTION","Entertainment","","3101.54000","","ACH Debit DISNEY PLUS STREAMING SUBSCRIPTION"
"44444444 555555 44,444 5,555,555,555","01/04/2025","01/04/2025","Debit","300.00000","","44444444","ATM Withdrawal WELLS FARGO ATM 00123","ATM Withdrawal","","2801.54000","","ATM Cash Withdrawal WELLS FARGO BANK #00123"
"55555555 666666 55,555 6,666,666,666","01/05/2025","01/05/2025","Debit","1100.00000","","55555555","ACH Debit RENT PAYMENT SUNRISE REALTY","Rent","","1701.54000","","ACH Debit RENT PAYMENT SUNRISE REALTY LLC"
"66666666 777777 66,666 7,777,777,777","01/06/2025","01/06/2025","Debit","52.30000","","66666666","POS Purchase EXXON MOBIL #00712","Gas & Fuel","","1649.24000","","POS Purchase EXXON MOBIL GAS STATION #00712"
"77777777 888888 77,777 8,888,888,888","01/07/2025","01/07/2025","Credit","200.00000","","77777777","ACH Deposit ZELLE FROM SARAH JOHNSON","Transfer","","1849.24000","","ACH Deposit ZELLE PEER PAYMENT FROM SARAH JOHNSON"
"88888888 999999 88,888 9,999,999,999","01/08/2025","01/08/2025","Debit","34.78000","","88888888","POS Purchase CHIPOTLE #1122","Dining","","1814.46000","","POS Purchase CHIPOTLE MEXICAN GRILL #1122"
"99999999 000000 99,999 1,010,101,010","01/09/2025","01/09/2025","Debit","110.00000","1101","99999999","Check #1101","Bill Payment","","1704.46000","","Personal Check Written"
"10111213 141516 10,111 2,131,415,161","01/10/2025","01/10/2025","Debit","9.99000","","10111213","ACH Debit AMAZON MUSIC UNLIMITED","Entertainment","","1694.47000","","ACH Debit AMAZON MUSIC UNLIMITED SUBSCRIPTION"
"21222324 252627 21,222 3,242,526,272","01/11/2025","01/11/2025","Credit","450.00000","","21222324","ACH Deposit FREELANCE PAYMENT FIVERR","Freelance Income","","2144.47000","","ACH Deposit FIVERR FREELANCE CONTRACT PAYMENT"
"32333435 363738 32,333 4,353,637,383","01/12/2025","01/12/2025","Debit","67.22000","","32333435","POS Purchase HEB GROCERY #0892","Groceries","","2077.25000","","POS Purchase HEB GROCERY STORE #0892"
"43444546 474849 43,444 5,464,748,495","01/13/2025","01/13/2025","Debit","210.00000","","43444546","ACH Debit PROGRESSIVE AUTO INSURANCE","Insurance","","1867.25000","","ACH Debit PROGRESSIVE AUTOMOBILE INSURANCE PREMIUM"
"54555657 585960 54,555 6,575,859,606","01/14/2025","01/14/2025","Debit","28.50000","","54555657","POS Purchase PANERA BREAD #4421","Dining","","1838.75000","","POS Purchase PANERA BREAD RESTAURANT #4421"
"65666768 697071 65,666 7,686,970,717","01/15/2025","01/15/2025","Credit","3200.00000","","65666768","ACH Deposit EMPLOYER: GLOBEX CORP PAYROLL","Payroll","","5038.75000","","ACH Deposit EMPLOYER: GLOBEX CORP DIRECT DEPOSIT"
"76777879 808182 76,777 8,797,980,818","01/16/2025","01/16/2025","Debit","420.00000","","76777879","ACH Debit MORTGAGE PAYMENT CHASE BANK","Mortgage","","4618.75000","","ACH Debit CHASE HOME MORTGAGE PAYMENT"
"87888990 919293 87,888 9,808,192,938","01/17/2025","01/17/2025","Debit","19.45000","","87888990","POS Purchase DUNKIN DONUTS #3301","Dining","","4599.30000","","POS Purchase DUNKIN DONUTS STORE #3301"
"98990011 021314 98,990 1,091,213,141","01/18/2025","01/18/2025","Debit","175.00000","","98990011","POS Purchase NORDSTROM #0561","Shopping","","4424.30000","","POS Purchase NORDSTROM DEPARTMENT STORE #0561"
"19202122 232425 19,202 2,192,224,252","01/19/2025","01/19/2025","Debit","55.00000","","19202122","ACH Debit WATER BILL CITY SERVICES","Utilities","","4369.30000","","ACH Debit CITY WATER AND SEWER SERVICES"
"20212223 242526 20,212 3,202,122,324","01/20/2025","01/20/2025","Credit","100.00000","","20212223","ACH Deposit CASHBACK REWARD AMEX","Rewards","","4469.30000","","ACH Deposit AMERICAN EXPRESS CASHBACK REWARD"
"31323334 353637 31,323 4,313,233,435","01/21/2025","01/21/2025","Debit","88.60000","","31323334","POS Purchase LOWES HOME IMPROVEMENT #1234","Home Improvement","","4380.70000","","POS Purchase LOWES HOME IMPROVEMENT STORE #1234"
"42434445 464748 42,434 5,424,344,546","01/22/2025","01/22/2025","Debit","14.99000","","42434445","ACH Debit PARAMOUNT PLUS SUBSCRIPTION","Entertainment","","4365.71000","","ACH Debit PARAMOUNT PLUS STREAMING SUBSCRIPTION"
"53545556 575859 53,545 6,535,455,657","01/23/2025","01/23/2025","Debit","240.00000","","53545556","ATM Withdrawal CITIBANK ATM 00789","ATM Withdrawal","","4125.71000","","ATM Cash Withdrawal CITIBANK #00789"
"64656667 686970 64,656 7,646,566,768","01/24/2025","01/24/2025","Credit","320.00000","","64656667","ACH Deposit RENTAL INCOME PROPERTY A","Rental Income","","4445.71000","","ACH Deposit RENTAL INCOME TENANT PAYMENT UNIT A"
"75767778 798081 75,767 8,757,677,879","01/25/2025","01/25/2025","Debit","73.14000","","75767778","POS Purchase ALDI GROCERY #0234","Groceries","","4372.57000","","POS Purchase ALDI GROCERY STORE #0234"
"86878889 909192 86,878 9,868,788,991","01/26/2025","01/26/2025","Debit","500.00000","","86878889","ACH Debit STUDENT LOAN NAVIENT","Loan Payment","","3872.57000","","ACH Debit NAVIENT STUDENT LOAN PAYMENT"
