"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"11223344 556677 11,223 3,445,566,778","06/01/2025","06/01/2025","Credit","4100.00000","","11223344","ACH Deposit EMPLOYER: STARK INDUSTRIES PAYROLL","Payroll","","4100.00000","","ACH Deposit EMPLOYER: STARK INDUSTRIES DIRECT DEPOSIT"
"22334455 667788 22,334 4,556,677,889","06/02/2025","06/02/2025","Debit","1350.00000","","22334455","ACH Debit RENT PAYMENT METRO APARTMENTS","Rent","","2750.00000","","ACH Debit RENT PAYMENT METRO APARTMENTS LLC"
"33445566 778899 33,445 5,667,788,990","06/02/2025","06/02/2025","Debit","104.32000","","33445566","POS Purchase SAFEWAY GROCERY #0512","Groceries","","2645.68000","","POS Purchase SAFEWAY GROCERY STORE #0512"
"44556677 889900 44,556 6,778,899,001","06/03/2025","06/03/2025","Debit","65.00000","","44556677","POS Purchase BP GAS STATION #00445","Gas & Fuel","","2580.68000","","POS Purchase BP GAS STATION #00445"
"55667788 990011 55,667 7,889,900,112","06/04/2025","06/04/2025","Debit","13.99000","","55667788","ACH Debit HBO MAX SUBSCRIPTION","Entertainment","","2566.69000","","ACH Debit HBO MAX STREAMING SUBSCRIPTION"
"66778899 001122 66,778 8,990,011,223","06/05/2025","06/05/2025","Credit","500.00000","","66778899","ACH Deposit VENMO PAYMENT FROM MIKE ROSS","Transfer","","3066.69000","","ACH Deposit VENMO PEER TRANSFER FROM MIKE ROSS"
"77889900 112233 77,889 9,001,122,334","06/06/2025","06/06/2025","Debit","250.00000","","77889900","ATM Withdrawal US BANK ATM 00556","ATM Withdrawal","","2816.69000","","ATM Cash Withdrawal US BANK #00556"
"88990011 223344 88,990 1,899,001,122","06/07/2025","06/07/2025","Debit","47.89000","","88990011","POS Purchase WEGMANS FOOD MARKET #0341","Groceries","","2768.80000","","POS Purchase WEGMANS FOOD MARKET STORE #0341"
"99001122 334455 99,001 2,990,011,223","06/08/2025","06/08/2025","Debit","19.99000","","99001122","ACH Debit APPLE TV PLUS SUBSCRIPTION","Entertainment","","2748.81000","","ACH Debit APPLE TV PLUS STREAMING SUBSCRIPTION"
"10112233 445566 10,112 3,101,122,334","06/09/2025","06/09/2025","Debit","380.00000","","10112233","ACH Debit STATE FARM AUTO INSURANCE","Insurance","","2368.81000","","ACH Debit STATE FARM AUTOMOBILE INSURANCE PREMIUM"
"21223344 556677 21,223 4,212,233,445","06/10/2025","06/10/2025","Debit","33.20000","","21223344","POS Purchase SUBWAY #8812","Dining","","2335.61000","","POS Purchase SUBWAY RESTAURANT #8812"
"32334455 667788 32,334 5,323,344,556","06/11/2025","06/11/2025","Credit","4100.00000","","32334455","ACH Deposit EMPLOYER: STARK INDUSTRIES PAYROLL","Payroll","","6435.61000","","ACH Deposit EMPLOYER: STARK INDUSTRIES DIRECT DEPOSIT"
"43445566 778899 43,445 6,434,455,667","06/12/2025","06/12/2025","Debit","800.00000","","43445566","ACH Debit MORTGAGE PAYMENT BANK OF AMERICA","Mortgage","","5635.61000","","ACH Debit BANK OF AMERICA HOME MORTGAGE PAYMENT"
"54556677 889900 54,556 7,545,566,778","06/13/2025","06/13/2025","Debit","120.00000","1201","54556677","Check #1201","Bill Payment","","5515.61000","","Personal Check Written"
"65667788 990011 65,667 8,656,677,889","06/14/2025","06/14/2025","Debit","58.74000","","65667788","POS Purchase SPROUTS FARMERS MARKET #0223","Groceries","","5456.87000","","POS Purchase SPROUTS FARMERS MARKET STORE #0223"
"76778899 001122 76,778 9,767,788,990","06/15/2025","06/15/2025","Credit","250.00000","","76778899","ACH Deposit RENTAL INCOME UNIT B","Rental Income","","5706.87000","","ACH Deposit RENTAL INCOME TENANT PAYMENT UNIT B"
"87889900 112233 87,889 1,878,899,001","06/16/2025","06/16/2025","Debit","44.00000","","87889900","POS Purchase BAHAMA BREEZE #3301","Dining","","5662.87000","","POS Purchase BAHAMA BREEZE RESTAURANT #3301"
"98990011 223344 98,990 2,989,900,112","06/17/2025","06/17/2025","Debit","275.00000","","98990011","POS Purchase UNITED AIRLINES TICKET","Travel","","5387.87000","","POS Purchase UNITED AIRLINES FLIGHT TICKET"
"19001122 334455 19,001 3,190,011,223","06/18/2025","06/18/2025","Debit","82.00000","","19001122","ACH Debit ELECTRIC BILL DUKE ENERGY","Utilities","","5305.87000","","ACH Debit DUKE ENERGY ELECTRIC SERVICE BILL"
"20112233 445566 20,112 4,201,122,334","06/19/2025","06/19/2025","Debit","29.99000","","20112233","ACH Debit LINKEDIN PREMIUM SUBSCRIPTION","Subscriptions","","5275.88000","","ACH Debit LINKEDIN PREMIUM CAREER SUBSCRIPTION"
"31223344 556677 31,223 5,312,233,445","06/20/2025","06/20/2025","Debit","145.50000","","31223344","POS Purchase MACY'S DEPARTMENT STORE #0991","Shopping","","5130.38000","","POS Purchase MACY'S DEPARTMENT STORE #0991"
"42334455 667788 42,334 6,423,344,556","06/21/2025","06/21/2025","Credit","180.00000","","42334455","ACH Deposit DIVIDENDS SCHWAB BROKERAGE","Investment Income","","5310.38000","","ACH Deposit CHARLES SCHWAB DIVIDEND PAYMENT"
"53445566 778899 53,445 7,534,455,667","06/22/2025","06/22/2025","Debit","200.00000","","53445566","ATM Withdrawal PNC BANK ATM 00334","ATM Withdrawal","","5110.38000","","ATM Cash Withdrawal PNC BANK #00334"
"64556677 889900 64,556 8,645,566,778","06/23/2025","06/23/2025","Debit","16.75000","","64556677","POS Purchase FIVE GUYS #2201","Dining","","5093.63000","","POS Purchase FIVE GUYS BURGERS #2201"
"75667788 990011 75,667 9,756,677,889","06/24/2025","06/24/2025","Debit","399.00000","","75667788","POS Purchase APPLE STORE IPHONE CASE","Electronics","","4694.63000","","POS Purchase APPLE RETAIL STORE ACCESSORY"
"86778899 001122 86,778 1,867,788,990","06/25/2025","06/25/2025","Credit","125.00000","","86778899","ACH Deposit ZELLE FROM KAREN WHITE","Transfer","","4819.63000","","ACH Deposit ZELLE PEER PAYMENT FROM KAREN WHITE"
"97889900 112233 97,889 2,978,899,001","06/26/2025","06/26/2025","Debit","540.00000","","97889900","ACH Debit STUDENT LOAN MOHELA","Loan Payment","","4279.63000","","ACH Debit MOHELA STUDENT LOAN PAYMENT"
"18990011 223344 18,990 3,189,900,112","06/27/2025","06/27/2025","Debit","71.88000","","18990011","POS Purchase COSTCO GAS STATION #0112","Gas & Fuel","","4207.75000","","POS Purchase COSTCO WHOLESALE GAS STATION #0112"
"29001122 334455 29,001 4,290,011,223","06/28/2025","06/28/2025","Debit","24.99000","","29001122","ACH Debit YOUTUBE PREMIUM SUBSCRIPTION","Subscriptions","","4182.76000","","ACH Debit YOUTUBE PREMIUM MONTHLY SUBSCRIPTION"
"30112233 445566 30,112 5,301,122,334","06/29/2025","06/29/2025","Credit","900.00000","","30112233","ACH Deposit BONUS PAYMENT STARK INDUSTRIES","Bonus","","5082.76000","","ACH Deposit STARK INDUSTRIES QUARTERLY BONUS"
